customer_id,customer_name,email,phone,country,city,signup_date
1,Customer 1,user1@example.com,9874405499,UK,Toronto,2015-01-01
2,Customer 2,user2@example.com,9861786179,USA,Delhi,2015-01-02
3,Customer 3,user3@example.com,9835862320,Australia,Kathmandu,2015-01-03
4,Customer 4,user4@example.com,9897532099,Australia,Delhi,2015-01-04
5,Customer 5,user5@example.com,9894779217,USA,Toronto,2015-01-05
6,Customer 6,user6@example.com,9864477809,USA,Toronto,2015-01-06
7,Customer 7,user7@example.com,9876701341,India,Sydney,2015-01-07
8,Customer 8,user8@example.com,9839068943,UK,Delhi,2015-01-08
9,Customer 9,user9@example.com,9857132762,Nepal,London,2015-01-09
10,Customer 10,user10@example.com,9815870068,USA,Sydney,2015-01-10
11,Customer 11,user11@example.com,9829054107,USA,NYC,2015-01-11
12,Customer 12,user12@example.com,9869172602,USA,Kathmandu,2015-01-12
13,Customer 13,user13@example.com,9870696591,UK,Sydney,2015-01-13
14,Customer 14,user14@example.com,9836635220,USA,Toronto,2015-01-14
15,Customer 15,user15@example.com,9870236747,Canada,NYC,2015-01-15
16,Customer 16,user16@example.com,9849440817,Australia,Toronto,2015-01-16
17,Customer 17,user17@example.com,9875999471,India,Sydney,2015-01-17
18,Customer 18,user18@example.com,9819830410,Nepal,Delhi,2015-01-18
19,Customer 19,user19@example.com,9865216336,USA,Delhi,2015-01-19
20,Customer 20,user20@example.com,9880942201,Canada,Delhi,2015-01-20
21,Customer 21,user21@example.com,9869750918,Nepal,NYC,2015-01-21
22,Customer 22,user22@example.com,9837136919,Australia,Kathmandu,2015-01-22
23,Customer 23,user23@example.com,9818765164,UK,Sydney,2015-01-23
24,Customer 24,user24@example.com,9840709745,Canada,London,2015-01-24
25,Customer 25,user25@example.com,9840551126,Nepal,Sydney,2015-01-25
26,Customer 26,user26@example.com,9894409880,USA,London,2015-01-26
27,Customer 27,user27@example.com,9851170841,Australia,NYC,2015-01-27
28,Customer 28,user28@example.com,9822822565,Canada,London,2015-01-28
29,Customer 29,user29@example.com,9851715648,India,Delhi,2015-01-29
30,Customer 30,user30@example.com,9822252341,UK,London,2015-01-30
31,Customer 31,user31@example.com,9856157518,Canada,Sydney,2015-01-31
32,Customer 32,user32@example.com,9873893492,India,London,2015-02-01
33,Customer 33,user33@example.com,9813660433,Canada,NYC,2015-02-02
34,Customer 34,user34@example.com,9814889942,India,Kathmandu,2015-02-03
35,Customer 35,user35@example.com,9833127707,USA,London,2015-02-04
36,Customer 36,user36@example.com,9892426981,Canada,Sydney,2015-02-05
37,Customer 37,user37@example.com,9835943344,USA,Sydney,2015-02-06
38,Customer 38,user38@example.com,9811505391,USA,Kathmandu,2015-02-07
39,Customer 39,user39@example.com,9897773195,UK,Delhi,2015-02-08
40,Customer 40,user40@example.com,9816463882,USA,Delhi,2015-02-09
41,Customer 41,user41@example.com,9881310900,UK,London,2015-02-10
42,Customer 42,user42@example.com,9854344688,Canada,NYC,2015-02-11
43,Customer 43,user43@example.com,9867162614,USA,Delhi,2015-02-12
44,Customer 44,user44@example.com,9857627516,Nepal,London,2015-02-13
45,Customer 45,user45@example.com,9861136995,Australia,London,2015-02-14
46,Customer 46,user46@example.com,9890157869,USA,Sydney,2015-02-15
